 idx      model        rtl    dev%  name
   0    31601.0      67232  112.8%  /model.0/conv/Conv
   1    63601.0      89334   40.5%  /model.1/conv/Conv
   2    24001.0      62689  161.2%  /model.2/cv1/conv/Conv
   3    31601.0      48816   54.5%  /model.2/m.0/cv1/conv/Conv
   4    31601.0      52030   64.6%  /model.2/m.0/cv2/conv/Conv
   5    35601.0      71019   99.5%  /model.2/cv2/conv/Conv
   6   143841.0     161970   12.6%  /model.3/conv/Conv
   7    55201.0     123647  124.0%  /model.4/cv1/conv/Conv
   8    59201.0      94712   60.0%  /model.4/m.0/cv1/conv/Conv
   9    59201.0     101135   70.8%  /model.4/m.0/cv2/conv/Conv
  10    59201.0      94712   60.0%  /model.4/m.1/cv1/conv/Conv
  11    59201.0     101135   70.8%  /model.4/m.1/cv2/conv/Conv
  12   109601.0     157380   43.6%  /model.4/cv2/conv/Conv
  13   215841.0     197984   -8.3%  /model.5/conv/Conv
  14    83851.0     123491   47.3%  /model.6/cv1/conv/Conv
  15    98251.0     106161    8.1%  /model.6/m.0/cv1/conv/Conv
  16    98251.0     115778   17.8%  /model.6/m.0/cv2/conv/Conv
  17    98251.0     106161    8.1%  /model.6/m.1/cv1/conv/Conv
  18    98251.0     115778   17.8%  /model.6/m.1/cv2/conv/Conv
  19   144161.0     157469    9.2%  /model.6/cv2/conv/Conv
  20   240587.0     288291   19.8%  /model.7/conv/Conv
  21    62091.0      63291    1.9%  /model.8/cv1/conv/Conv
  22    94091.0      83857  -10.9%  /model.8/m.0/cv1/conv/Conv
  23    94091.0      96591    2.7%  /model.8/m.0/cv2/conv/Conv
  24    92811.0      74178  -20.1%  /model.8/cv2/conv/Conv
  25    44171.0      41058   -7.0%  /model.9/cv1/conv/Conv
  26      13300      29357  120.7%  /model.9/m/MaxPool
  27      13300      29357  120.7%  /model.9/m_1/MaxPool
  28      13300      29357  120.7%  /model.9/m_2/MaxPool
  29   123531.0      96241  -22.1%  /model.9/cv2/conv/Conv
  30   146721.0     117198  -20.1%  /model.12/cv1/conv/Conv
  31    98251.0     106161    8.1%  /model.12/m.0/cv1/conv/Conv
  32    98251.0     106161    8.1%  /model.12/m.0/cv2/conv/Conv
  33   116321.0     140875   21.1%  /model.12/cv2/conv/Conv
  34   110241.0     111520    1.2%  /model.15/cv1/conv/Conv
  35    59201.0      94712   60.0%  /model.15/m.0/cv1/conv/Conv
  36    59201.0      94712   60.0%  /model.15/m.0/cv2/conv/Conv
  37    82401.0     140300   70.3%  /model.15/cv2/conv/Conv
  38   146721.0     133693   -8.9%  /model.16/conv/Conv
  39   117601.0     143281   21.8%  /model.22/cv2.0/cv2.0.0/conv/Conv
  40   189601.0     213035   12.4%  /model.22/cv3.0/cv3.0.0/conv/Conv
  41    59201.0      94712   60.0%  /model.22/cv2.0/cv2.0.1/conv/Conv
  42   189601.0     213035   12.4%  /model.22/cv3.0/cv3.0.1/conv/Conv
  43   116321.0     140875   21.1%  /model.18/cv1/conv/Conv
  44    24001.0      62507  160.4%  /model.22/cv2.0/cv2.0.2/Conv
  45    55201.0     101526   83.9%  /model.22/cv3.0/cv3.0.2/Conv
  46    98251.0     106161    8.1%  /model.18/m.0/cv1/conv/Conv
  47    98251.0     106161    8.1%  /model.18/m.0/cv2/conv/Conv
  48   116321.0     140875   21.1%  /model.18/cv2/conv/Conv
  49   148427.0     161673    8.9%  /model.19/conv/Conv
  50   130081.0     134226    3.2%  /model.22/cv2.1/cv2.1.0/conv/Conv
  51   204961.0     216399    5.6%  /model.22/cv3.1/cv3.1.0/conv/Conv
  52    31451.0      47364   50.6%  /model.22/cv2.1/cv2.1.1/conv/Conv
  53    98251.0     106161    8.1%  /model.22/cv3.1/cv3.1.1/conv/Conv
  54    92811.0      74178  -20.1%  /model.21/cv1/conv/Conv
  55    15451.0      31879  106.3%  /model.22/cv2.1/cv2.1.2/Conv
  56    34251.0      51336   49.9%  /model.22/cv3.1/cv3.1.2/Conv
  57    94091.0      83857  -10.9%  /model.21/m.0/cv1/conv/Conv
  58    94091.0      83857  -10.9%  /model.21/m.0/cv2/conv/Conv
  59    92811.0      74178  -20.1%  /model.21/cv2/conv/Conv
  60    66571.0      55211  -17.1%  /model.22/cv2.2/cv2.2.0/conv/Conv
  61   106891.0      90122  -15.7%  /model.22/cv3.2/cv3.2.0/conv/Conv
  62     8891.0      13063   46.9%  /model.22/cv2.2/cv2.2.1/conv/Conv
  63    27211.0      28056    3.1%  /model.22/cv3.2/cv3.2.1/conv/Conv
  64     4411.0       9043  105.0%  /model.22/cv2.2/cv2.2.2/Conv
  65     9291.0      13935   50.0%  /model.22/cv3.2/cv3.2.2/Conv

measured layers: 66/66
total model 5633185.0 rtl 6622249 deviation 17.6% (gate 15%)
worst layer deviation 161.2%
